التصنيف,الصنف,الكميه,سعر التكلفه,سعر البيع
كتان ساده,فريسكا,100,55,70
كتان ساده,سى واى,100,55,80
كتان ساده,مقلم جيكار,100,70,130
كتان ساده,كتان خام,100,60,80
كتان ساده,كرنكل قطن,100,60,80
كتان ساده,فرنساوى,100,58,80
كتان ساده,كتان لينن,100,90,130
كتان ساده,مقلم مضفر,100,110,140
كتان ساده,كتان مشبح,100,110,130
كتان ساده,كتان اسبانى,100,70,80
كتان ساده,كوريشه,100,55,100
كتان ساده,كتان كرش,100,80,110
كتان مشجر,اسبانى مشجر,100,80,100
كتان مشجر,فرنساوى فوم,100,80,100
كتان مشجر,اسلاب مشجر,100,80,100
كتان مشجر,فرنساوى مشجر,100,80,100
كتان مشجر,مقلم اكسفورد,100,80,120
ركامه قطن,ركامه كورد مطرز,0,240,280
ركامه قطن,ركامه 2 لون,0,280,330
ركامه قطن,ركامه فوم,0,135,220
ركامه قطن,ركامه ورده طايره,0,240,270
ركامه قطن,ركامه الوان,0,149,180
ركامه قطن,ركامه ابيض,100,135,180
ركامه قطن,ركامه جبير,0,220,350
ركامه قطن,شبك زاره,0,160,200
كريب ساده,روزالين,100,88,130
كريب ساده,اسكوبا,100,52,100
كريب ساده,انجيكا,0,132,180
كريب ساده,رويال,100,78,120
كريب ساده,كريب حرير,100,70,120
كريب ساده,كونكورد,0,104,140
كريب ساده,سعودى 180سم,100,120,180
كريب ساده,سعودى 150سم,100,130,150
كريب مشجر,كريز مشجر,100,70,100
كريب مشجر,روز كريب,100,78,100
كريب مشجر,جلاكسي مشجر,100,80,100
كريب مشجر,جبردين مقلم,0,75,150
كريب مشجر,روزالين مقلم,0,90,175
كريب مشجر,رويال مشجر,0,75,100
كريب مشجر,sph مشجر,100,78,100
حرير,ارمانى ساده,100,66,120
حرير,ارمانى مشجر,100,80,100
حرير,حرير سعودى,100,120,180
حرير,تيك توك ساده,100,120,180
اورجانزا,اورجانزا كرنكل,100,66,110
اورجانزا,روزتا بطانه,100,40,50
شيفون,شيفون ساده,100,59,80
شيفون,شيفون 3D,0,120,150
شيفون,شيفون مطرز,0,280,380
تل,تل ايطالى,100,27,35
تل,تل استرتش,100,35,80
تل,دانتل بلمتر,50,100,200
تل,دانتل بلقطعه,5,330,550
تل,دانتيل ايطالى,0,240,350
