التصنيف,الصنف,الكميه,سعر التكلفه,سعر البيع
جوانب الستاير,كتان شارك عرضين,350,155,300
جوانب الستاير,كتان ازميل ناجح,350,260,450
جوانب الستاير,شانليا pro عرضين,500,200,280
جوانب الستاير,كتان نابولى,350,230,350
جوانب الستاير,كتان فرارى خريطه,250,225,300
جوانب الستاير,كتان فرارى منغمش,250,225,300
جوانب الستاير,قطيفه جيرمان 280سم,1000,100,180
جوانب الستاير,قطيفه جيرمان 140سم,1000,105,140
جوانب الستاير,قطيفه تيسلا,600,220,350
جوانب الستاير,قطيفه بوليفارد,600,145,300
جوانب الستاير,روتانا,600,77,120
جوانب الستاير,قطيفه دبى,300,125,180
جوانب الستاير,قطيفه فوكس,300,125,180
جوانب الستاير,قطيفه بريمير,600,125,250
بلاك اوت,بلاك اوت اسبانى,100,155,250
بلاك اوت,بلاك اوت امريكى,100,175,325
بلاك اوت,بلاك اوت كتان 250جرام,250,190,300
بلاك اوت,بلاك اوت كتان 450 جرام,250,260,350
بلاك اوت,بلاك اوت قطيفه,250,255,3400
بلاك اوت,بلاك اوت اسبانى 310سم,100,150,250
اقمشة التنجيد,قطيفه توكس,300,140,200
اقمشة التنجيد,سيلفا,300,75,140
اقمشة التنجيد,كتان بريمو,300,130,200
اقمشة التنجيد,كتان فانكو,300,100,180
اقمشة التنجيد,قطيفه فيرونا,250,140,200
اقمشة التنجيد,بندا,80,160,200
اقمشة التنجيد,قطيفه خريطه,0,125,180
اقمشة التنجيد,جوبلان قطن,400,120,140
اقمشة التنجيد,شانليا كرنكل,400,150,220
اقمشة التنجيد,قطيفه شيكاغو,300,90,175
اقمشة التنجيد,قطيفه سرما,300,90,120
اقمشة التنجيد,برنت ديجتال,1000,55,100
ستائر كتان,كتان 540,200,120,250
ستائر كتان,كتان 167,70,70,200
ستائر كتان,كتان سبعات GB,0,150,280
ستائر كتان,كتان بورش,200,120,250
ستائر كتان,كتان انديامو,200,120,250
ستائر كتان,كتان 10 كينار,300,140,250
ستائر كتان,كتان 8 كينار,300,140,250
ستائر كتان,كتان اجور,300,120,200
ستائر كتان,كتان جكارتا,300,85,220
ستائر كتان,كتان نيو جكارتا,300,85,220
ستائر كتان,كتان بوجاتى,300,140,250
ستائر كتان,كتان اجور شرشوبه,200,160,280
ستائر كتان,كتان مزراتى,200,110,280
ستائر كتان,كتان مطرز,200,240,350
ستائر كتان,كتان بندا,150,230,350
ستائر كتان,كتان منغمش,250,175,330
ستائر كتان,كتان منتش,250,175,330
ستائر كتان,كتان تيسلا,250,150,280
ستائر كتان,كتان ستان,210,100,280
ستائر كتان,كتان سرما RS,250,160,330
ستائر كتان,كتان شانليا RS,250,160,330
ستائر كتان,كتان كينار,50,175,320
ستائر كتان,كتان كينار 2 لون,80,160,380
ستائر كتان,كتان ماى بخ,160,120,250
ستائر كتان,كتان بنادول,200,140,250
ستائر تل,تل N70,250,150,280
ستائر تل,تل راشيل دانتيل,300,75,250
ستائر تل,تل راشيل مدهب,150,145,250
ستائر تل,تل راشيل الشبح,150,145,280
ستائر تل,تل بوكيه مطرز,80,150,250
ستائر تل,تل بوكيه قطيفه,150,150,250
ستائر تل,تل بوكيه N90,100,130,250
ستائر تل,تل بندا,150,230,350
ستائر تل,تل N55,400,90,150
ستائر تل,تل تركى شبك سرما,80,120,280
ستائر مكتبيه,رول,50,450,750
ستائر مكتبيه,رول + طباعه,50,650,850
ستائر مكتبيه,زيبرا,50,850,1200
شيفون,شيفون ساده 280سم,100,55,80
شيفون,شيفون ساده 310سم,0,80,120
ستائر خارجيه,دك ساده,120,47,120
ستائر خارجيه,دك مقلم عرض 140سم,200,47,65
ستائر خارجيه,دك مقلم عرضين,300,90,120
ستائر خارجيه,دك ساده عرض 2متر,20,60,120
ستائر خارجيه,صن شاين ساده,220,120,180
فرو,فرو مقلم,200,220,300
فرو,فرو بامب,200,220,300
اكسسوار,تراك المانى,1000,55,100
اكسسوار,حامل مجوز تراك,500,25,40
اكسسوار,مواسير فورجيه,1000,55,65
اكسسوار,حامل مجوز,1000,45,55
اكسسوار,حامل مفرد,1000,40,50
اكسسوار,فلنشه,200,25,40
اكسسوار,حامل مجوز سقف,200,45,55
اكسسوار,حلمل مفرد سقف,200,40,50
اكسسوار,شماعه L,500,60,100
اكسسوار,شماعه ديكور,500,60,120
اكسسوار,قمم,1000,25,40
اكسسوار,دبل,3000,3,5
اكسسوار,توكه سوسته,200,60,120
اكسسوار,تراك مرن,200,60,120
اكسسوار,مواسير استانلس,500,45,65
اكسسوار,افيز بلكونه,200,30,45
اكسسوار,حلقات حرف S,200,30,50
