التصنيف,الصنف,الكميه,سعر البيع,سعر التكلفه
كتان ساده,كتان فرنساوى,300,100,55
كتان ساده,كتان اسبانى,200,100,70
كتان ساده,كتان جيكار مقلم,200,130,75
كتان ساده,كتان لينن,150,130,90
كتان ساده,فريسكا,300,80,48
كتان ساده,بوبلين ساده,200,150,105
كتان ساده,cy,200,80,60
كتان ساده,جلاكسي ساده,100,135,75
شيفون,شيفون ساده,100,80,60
شيفون,شيفون مشجر,100,150,85
كتان مشجر,كتان مطرز,100,150,80
كتان مشجر,فريسكا مشجر,100,130,70
كتان مشجر,جلاكسي مشجر,100,135,86
كتان مشجر,جوبير كتان مطرز,100,250,160
كتان مشجر,كتان قطن ليكرا,100,180,130
فذكوز,فذكوز مشجر,100,120,85
فذكوز,فذكوز ساده,100,120,85
كريب,اسكوبا,100,100,60
كريب,روزالين مقلم,100,175,90
كريب,رويال,100,120,78
كريب,جينز مستورد,100,210,160
كريب,كريب حرير مشجر,100,100,70
كريب,كريب حرير ساده,100,120,78
كريب,جبردين,100,150,110
ركامه,ركامه الوان ليكرا,100,200,130
ركامه,شبك الوان,100,220,130
حرير,حرير كوبرا,100,200,120
حرير,حرير سعودى,100,230,130
حرير,تيك توك,100,180,110
حرير,حرير ستان مشجر,100,100,80
حرير,حرير ستان ساده,100,120,75
حرير,حرير جيكار سعودى,100,230,150
حرير,حرير ستان بليسيه,100,150,80
فيزون,ITY,100,130,85
فيزون,مايوه ساده,100,180,120
فيزون,مايوه مشجر,100,200,140
اقمشه ثوابت,تل ايطالى,100,50,30
اقمشه ثوابت,روزتا,100,50,45
اقمشه ثوابت,دانتيل بلمتر,60,200,90
اقمشه ثوابت,دانتيل بلقطعه,6,550,330
شتوى اصواف,ريب تريكوه,100,130,80
شتوى اصواف,ريب شيلان,100,120,80
شتوى اصواف,ريب عادى,100,100,70
شتوى اصواف,ريب زاره,100,180,120
شتوى اصواف,تويد زاره lucx,100,200,130
شتوى اصواف,تويد زاره prim,100,180,130
شتوى اصواف,تويد الوان,100,180,130
شتوى اصواف,شمواه ساده,100,150,100
شتوى اصواف,شمواه مشجر,100,180,100
شتوى اصواف,جوخ ساده,100,150,120
شتوى اصواف,جوخ مقلم,100,180,130
شتوى اصواف,صوف زاره كاروه,100,300,190
شتوى اصواف,صوف موهير كاروه,100,200,140
شتوى اصواف,صوف موهير ساده,100,180,120
شتوى اصواف,صوف سبعات,100,180,115
شتوى اصواف,صوف انجيلزى كاروه,100,180,115
شتوى اصواف,صوف كاروه ايطالى,100,180,115
شتوى اصواف,تويد زاره مشجر,100,150,115
شتوى اصواف,صوف زاره منقط,100,250,170
شتوى اصواف,صوف كاره,100,100,70
شتوى اصواف,صوف بدى بول,100,180,120
شتوى اصواف,تريكوه مضفر,100,180,120
شتوى اصواف,صوف بانده,100,180,120
شتوى اصواف,صوف مكتكت,100,180,120
شتوى اصواف,ميلتون,100,180,120
شتوى اصواف,جلد مبطن,100,250,180
شتوى اصواف,جلد لاذورد,100,300,200
شتوى اصواف,جلد عادى,100,150,100
شتوى اصواف,فرو تايجر,100,350,250
شتوى اصواف,فرو ارنب,100,400,250
شتوى اصواف,قطيفه ساده فرنساوى,100,120,90
شتوى اصواف,قطيفه بليسيه,100,180,120
شتوى اصواف,قطيفه فرنساوى مشجر,100,180,120
شتوى اصواف,تويد كاروه,100,250,150
